,size,timing,k,circles
404,30000,2.4239470958709717,15,19
405,35000,2.8169360160827637,15,20
406,40000,3.259181022644043,15,21
407,45000,3.8188719749450684,15,22
408,50000,4.27973484992981,15,23
409,55000,4.638134956359863,15,24
410,60000,5.153964042663574,15,25
411,65000,5.5877180099487305,15,26
412,70000,6.127279043197632,15,27
413,75000,6.669570207595825,15,28
414,80000,7.169811964035034,15,29
415,85000,7.780200958251953,15,30
416,90000,8.379772186279297,15,31
417,95000,8.836030960083008,15,32
418,100000,9.746694087982178,15,33
419,105000,10.175988912582397,15,34
420,110000,10.786643981933594,15,35
421,115000,11.736499071121216,15,36
422,120000,12.138685941696167,15,37
423,125000,12.746922016143799,15,38
424,130000,13.4757559299469,15,39
425,135000,14.283697128295898,15,40
426,140000,14.98171591758728,15,41
427,145000,15.610018253326416,15,42
428,150000,16.404046773910522,15,43
429,155000,17.321306943893433,15,44
430,160000,17.8994460105896,15,45
431,165000,18.736599922180176,15,46
432,170000,19.730303049087524,15,47
433,175000,20.810349941253662,15,48
434,180000,21.21760892868042,15,49
435,185000,22.00921392440796,15,50
436,190000,23.06480097770691,15,51
437,195000,23.79932475090027,15,52
438,200000,24.913641929626465,15,53
439,205000,25.786367177963257,15,54
440,210000,26.531413078308105,15,55
441,215000,27.237793922424316,15,56
442,220000,28.492151021957397,15,57
443,225000,29.25799036026001,15,58
444,230000,30.14671301841736,15,59
445,235000,31.050029754638672,15,60
446,240000,31.962669849395752,15,61
447,245000,33.102097034454346,15,62
448,250000,34.24339199066162,15,63
449,255000,35.215660095214844,15,64
450,255000,0.9453308582305908,15,15
451,15000,1.308164119720459,15,16
452,20000,1.7286851406097412,15,17
453,25000,2.101986885070801,15,18
454,30000,2.404728889465332,15,19
455,35000,2.8597018718719482,15,20
456,40000,3.306816816329956,15,21
457,45000,3.641515016555786,15,22
458,50000,4.159134149551392,15,23
459,55000,4.633509874343872,15,24
460,60000,5.104963064193726,15,25
461,65000,5.573838949203491,15,26
462,70000,6.114049911499023,15,27
463,75000,6.645263195037842,15,28
464,80000,7.178148031234741,15,29
465,85000,7.6792027950286865,15,30
466,90000,8.439714670181274,15,31
467,95000,8.871354818344116,15,32
468,100000,9.756079912185669,15,33
469,105000,10.361950874328613,15,34
470,110000,10.935708999633789,15,35
471,115000,11.567945957183838,15,36
472,120000,12.319249868392944,15,37
473,125000,13.077903985977173,15,38
474,130000,13.503559350967407,15,39
475,135000,14.278239011764526,15,40
476,140000,15.039877891540527,15,41
477,145000,15.835426807403564,15,42
478,150000,16.417341232299805,15,43
479,155000,17.290663719177246,15,44
480,160000,17.924237966537476,15,45
481,165000,18.79971194267273,15,46
482,170000,19.618146896362305,15,47
483,175000,20.512831926345825,15,48
484,180000,21.350968837738037,15,49
485,185000,22.099973917007446,15,50
486,190000,23.067779064178467,15,51
487,195000,23.83494281768799,15,52
488,200000,24.99742317199707,15,53
489,205000,26.076496839523315,15,54
490,210000,26.909809827804565,15,55
491,215000,27.701430082321167,15,56
492,220000,28.777958154678345,15,57
493,225000,29.83770203590393,15,58
494,230000,30.59731388092041,15,59
495,235000,31.534399032592773,15,60
496,240000,32.59116578102112,15,61
497,245000,33.71281099319458,15,62
498,250000,34.45496606826782,15,63
499,255000,35.65782594680786,15,64
